NCBI GeneID	Symbol	Description	Taxonomic Name	Common Name
3509936	AFUA_1G15440	alpha-1,3-glucan synthase Ags3	Aspergillus fumigatus Af293	
3512898	AFUA_2G11270	alpha-1,3-glucan synthase Ags2	Aspergillus fumigatus Af293	
3503840	AFUA_4G00860	cell surface protein, putative	Aspergillus fumigatus Af293	
3503949	AFUA_4G04820	C-4 methyl sterol oxidase Erg25, putative	Aspergillus fumigatus Af293	
3505202	AFUA_6G04540	calcineurin Ca2+-binding regulatory subunit CnaB	Aspergillus fumigatus Af293	
3505541	AFUA_5G02330	major allergen and cytotoxin AspF1	Aspergillus fumigatus Af293	
3505740	AFUA_5G00760	chitin synthase C	Aspergillus fumigatus Af293	
3506373	AFUA_7G03710	kinesin family protein (KipA), putative	Aspergillus fumigatus Af293	
3506806	AFUA_2G01870	chitin synthase A	Aspergillus fumigatus Af293	
3506970	AFUA_2G01170	1,3-beta-glucanosyltransferase Gel1	Aspergillus fumigatus Af293	
3507275	AFUA_1G01690	cytochrome P450 alkane hydroxylase, putative	Aspergillus fumigatus Af293	
3507412	AFUA_1G04900	proliferating cell nuclear antigen (PCNA)	Aspergillus fumigatus Af293	
3507507	AFUA_1G05210	G-protein complex gamma subunit GpgA	Aspergillus fumigatus Af293	
3507876	AFUA_1G02050	secretion pathway protein Sls2/Rcy1, putative	Aspergillus fumigatus Af293	
3508327	AFUA_6G11390	1,3-beta-glucanosyltransferase Gel2	Aspergillus fumigatus Af293	
3508395	AFUA_6G12110	salicylate synthetase, putative	Aspergillus fumigatus Af293	
3508443	AFUA_6G12580	anthranilate synthase component I, putative	Aspergillus fumigatus Af293	
3509093	AFUA_4G06530	bZIP transcription factor (MetR), putative	Aspergillus fumigatus Af293	
3509300	AFUA_4G09710	C6 sexual development transcription factor NosA	Aspergillus fumigatus Af293	
3509534	AFUA_4G13230	developmental regulatory protein WetA	Aspergillus fumigatus Af293	
3510276	AFUA_1G12940	MAP kinase SakA	Aspergillus fumigatus Af293	
3511647	AFUA_5G12210	G protein complex beta subunit SfaD	Aspergillus fumigatus Af293	
3512453	AFUA_3G12960	cytochrome P450 monooxigenase GliC-like, putative	Aspergillus fumigatus Af293	
3512772	AFUA_2G17530	conidial pigment biosynthesis oxidase Arb2	Aspergillus fumigatus Af293	
3512773	AFUA_2G17540	conidial pigment biosynthesis oxidase Abr1/brown 1	Aspergillus fumigatus Af293	
3513026	AFUA_2G16520	phospholipase D (PLD), putative	Aspergillus fumigatus Af293	
3508168	AFUA_6G09740	thioredoxin reductase GliT	Aspergillus fumigatus Af293	
3511006	AFUA_5G09240	Cu,Zn superoxide dismutase SOD1	Aspergillus fumigatus Af293	
3513039	AFUA_2G11180	developmental regulator FlbA	Aspergillus fumigatus Af293	
3513291	AFUA_2G17600	conidial pigment polyketide synthase PksP/Alb1	Aspergillus fumigatus Af293	
3507778	AFUA_1G07730	metalloprotease MEP1	Aspergillus fumigatus Af293	
3510578	AFUA_1G13300	GTP cyclohydrolase II, putative	Aspergillus fumigatus Af293	
3510906	AFUA_5G11040	pantoate--beta-alanine ligase	Aspergillus fumigatus Af293	
3511162	AFUA_5G08090	pyridoxine biosynthesis protein	Aspergillus fumigatus Af293	
3513112	AFUA_2G08970	thiamine biosynthetic bifunctional enzyme, putative	Aspergillus fumigatus Af293	
3511803	AFUA_3G11970	C2H2 transcription factor PacC, putative	Aspergillus fumigatus Af293	
3503630	AFUA_6G00510	NADP-dependent alcohol dehydrogenase	Aspergillus fumigatus Af293	
3503631	AFUA_6G00500	chitosanase, putative	Aspergillus fumigatus Af293	
3503632	AFUA_6G00490	DUF521 domain protein	Aspergillus fumigatus Af293	
3503634	AFUA_6G00470	plasma membrane zinc ion transporter, putative	Aspergillus fumigatus Af293	
3503636	AFUA_6G00450	feruloyl esterase, putative	Aspergillus fumigatus Af293	
3503637	AFUA_6G00440	cation diffusion facilitator, putative	Aspergillus fumigatus Af293	
3503638	AFUA_6G00430	IgE-binding protein	Aspergillus fumigatus Af293	
3503643	AFUA_6G00550	glycosyl transferase family 8 family, putative	Aspergillus fumigatus Af293	
3503650	AFUA_6G00320	integral membrane protein	Aspergillus fumigatus Af293	
